company,rating,title,pros,cons,reviewer_title,reviewer_location,datetime,is_current_job
Encora,5,IT Support,HR is very helpful and understanding.,No cons needed at there., IT Infrastructure Engineer, Singapore,16-Nov-22,FALSE
Encora,1,3 YEARS CONTRACTUAL (Asia),Good stepping stone to work overseas,"- People Manager/HRs in Asia were very rude
- Will give you a hard time the moment you mention resignation
- They're based on another country, and will assign you with a proxy company. Due to this, you cannot do any legal action against them.
- they will hold your last Salary and COE hostage unless you tell them your next company which they will call to make their prospect client.", Software Engineer, Singapore,3-Jun-22,FALSE
Encora,4,Good Consultancy,Good company to work with,no cons I could see., S/W Developer, Singapore,28-Feb-22,TRUE
Encora,5,Excellent Place to work with 👍,"I worked with Encora Technologies from 2007 to 2011,my experience is excellent.

HR of this company is very cooperative,  humble, and always ready to help also provide career guidance to grow further.","Didn't noted any issues, as the team is always ready to sort out before any thing asked.", Credit Risk Expert, Singapore,24-Feb-21,FALSE
Encora,5,Great Employer,"Encora was one of the best place to work in. It had a wonderful environment with lovely supportive colleagues (Yes, even seniors and boss :-) ) I always used to look forward to go to work everyday. In the 2 yrs at Encora, I have gained a lot of knowledge and experience for which i am very grateful.",Cant think of any. Great place to work in., Human Resources/Administrative Assistant, Singapore,28-Feb-21,FALSE
Encora,5,Supportive uplifting culture and sincere genuine leaders,"- the Singapore leadership team makes genuine effort to create a supportive open transparent culture within the firm
- the company sincerely cares about employees' career growth and wellbeing
- make conscious effort to provide platform for employees and empower employees to drive career growth",I can't think of any!, Human Resources Generalist, Singapore,5-Mar-21,FALSE
Encora,5,Outstanding experience,"Great colleagues
Positive attitude
Opportunities for professional development
Preferences given to your choices and welcomes new ideas
Work-life balance",Experience differs from project to project but always was placed according to my choice and preference, SAP Consultant, Singapore,24-Feb-21,FALSE
Encora,5,Top notch staffing provider,"- I would say, one of the best offer i got as a consultant via encora, they were very transparent in terms of salary and benefits. 
- Fast response & quickly resolve the conflicts between clients & employees.",Nothing i am aware of, Senior Database Engineer, Singapore,24-Feb-21,FALSE
Encora,4,Company where humanity meets,"1. Very understanding management 
2. Excellent working environment 
3. Flexibility 
4. Transparent leadership 
5. Opportunity to grow with long term job stability",Nothing that I can truly think of as a roadblock., Recruiter, Singapore,24-Feb-21,FALSE
Encora,5,Great company culture,"Good HR Policy,
Multiple Project Available,
Open work culture and Sr. Management is easily accessible.",Company can arrange skill improvement session for employees who work on client location., Senior Consultant, Singapore,27-Feb-21,FALSE
Encora,5,Best place to work,"3 years worked for Encora,Offered good salary package and hike for each year, HR coordination and support was good. Great place to work",Was good to work with Encora no cons., Senior Systems Administrator, Singapore,24-Feb-21,FALSE
Encora,4,Good organization to work with,"I was associated with Encora for a year in Singapore.
Nice company and good management/HR team.
Higher management is easily approachable.
work-life balance",limited clients/customers. They must try to add more., Software Consultant, Singapore,24-Feb-21,FALSE
Encora,5,Good place to work.,"The work culture is very good, and the HR is very helpfull, they want to listen my problem and take necessary action if require, overall Encora is good place to work.","Haven't faced big issue yet, mostly we have small issue and that has been solved.", Senior Storage Administrator, Singapore,17-Dec-20,TRUE
Encora,5,"Good Company to work with, i worked with encore for 15 months.",Excellent support from the HR team and other Teams.,I did not find any cons till now, AIX Technology Specialist, Singapore,24-Feb-21,FALSE
